week,predicted,lower,upper,interval
2022-07-25,43446.0,39851.0,48946.0,quantile_10%_90%
2022-08-01,43549.0,37360.0,50119.0,quantile_10%_90%
2022-08-08,43209.0,36684.0,49481.0,quantile_10%_90%
2022-08-15,44767.0,36394.0,50056.0,quantile_10%_90%
2022-08-22,44935.0,35566.0,49536.0,quantile_10%_90%
2022-08-29,45047.0,32595.0,50036.0,quantile_10%_90%
2022-09-05,43557.0,23209.0,48574.0,quantile_10%_90%
2022-09-12,41946.0,23252.0,48574.0,quantile_10%_90%
2022-09-19,41892.0,20857.0,48495.0,quantile_10%_90%
2022-09-26,39866.0,21195.0,48448.0,quantile_10%_90%
2022-10-03,36544.0,21223.0,47810.0,quantile_10%_90%
2022-10-10,35905.0,21290.0,47638.0,quantile_10%_90%
2022-10-17,38317.0,19753.0,46739.0,quantile_10%_90%
2022-10-24,36067.0,18380.0,46512.0,quantile_10%_90%
2022-10-31,37517.0,16657.0,46780.0,quantile_10%_90%
2022-11-07,37750.0,16808.0,46620.0,quantile_10%_90%
2022-11-14,34269.0,15334.0,46416.0,quantile_10%_90%
2022-11-21,27938.0,17312.0,46392.0,quantile_10%_90%
2022-11-28,27922.0,14771.0,46380.0,quantile_10%_90%
2022-12-05,28496.0,18324.0,46193.0,quantile_10%_90%
2022-12-12,33995.0,18010.0,46706.0,quantile_10%_90%
2022-12-19,35660.0,20177.0,46000.0,quantile_10%_90%
2022-12-26,35756.0,26155.0,46178.0,quantile_10%_90%
2023-01-02,48376.0,20567.0,45888.0,quantile_10%_90%
2023-01-09,36410.0,19204.0,45783.0,quantile_10%_90%
2023-01-16,28721.0,18639.0,45504.0,quantile_10%_90%
2023-01-23,16770.0,15552.0,45504.0,quantile_10%_90%
2023-01-30,14656.0,13782.0,45506.0,quantile_10%_90%
2023-02-06,14109.0,9713.0,45526.0,quantile_10%_90%
2023-02-13,18029.0,4610.0,45522.0,quantile_10%_90%
2023-02-20,19029.0,4335.0,45595.0,quantile_10%_90%
2023-02-27,22560.0,3020.0,45794.0,quantile_10%_90%
2023-03-06,24666.0,2646.0,45794.0,quantile_10%_90%
2023-03-13,26637.0,1392.0,45794.0,quantile_10%_90%
2023-03-20,27733.0,905.0,45790.0,quantile_10%_90%
2023-03-27,30866.0,1956.0,45813.0,quantile_10%_90%
2023-04-03,27552.0,659.0,45794.0,quantile_10%_90%
2023-04-10,30323.0,1427.0,46180.0,quantile_10%_90%
2023-04-17,44056.0,686.0,51383.0,quantile_10%_90%
2023-04-24,51886.0,644.0,49663.0,quantile_10%_90%
2023-05-01,46833.0,802.0,49894.0,quantile_10%_90%
2023-05-08,45955.0,716.0,49881.0,quantile_10%_90%
2023-05-15,37725.0,437.0,48152.0,quantile_10%_90%
2023-05-22,37307.0,437.0,48275.0,quantile_10%_90%
2023-05-29,47802.0,949.0,50339.0,quantile_10%_90%
2023-06-05,48587.0,612.0,52078.0,quantile_10%_90%
2023-06-12,51977.0,598.0,53584.0,quantile_10%_90%
2023-06-19,52404.0,1537.0,52346.0,quantile_10%_90%
2023-06-26,51797.0,1661.0,52498.0,quantile_10%_90%
2023-07-03,48058.0,1310.0,51136.0,quantile_10%_90%
2023-07-10,46234.0,1493.0,48703.0,quantile_10%_90%
2023-07-17,48974.0,1751.0,52276.0,quantile_10%_90%
2023-07-24,47534.0,1507.0,52454.0,quantile_10%_90%
