date,day_name,predicted,lower,upper
2022-07-26,Tuesday,45955.767355033255,39398.94795437453,52512.58675569198
2022-07-27,Wednesday,46264.095579256165,39707.27617859744,52820.91497991489
2022-07-28,Thursday,46232.05324645706,39675.233845798335,52788.87264711578
2022-07-29,Friday,46104.51845353309,39547.69905287437,52661.337854191814
2022-07-30,Saturday,55281.684241488365,48724.86484082964,61838.50364214709
2022-07-31,Sunday,46864.02624036903,40307.20683971031,53420.84564102775
2022-08-01,Monday,46079.69408819344,39522.87468753472,52636.513488852164
2022-08-02,Tuesday,46488.44120589016,39931.621805231436,53045.26060654888
2022-08-03,Wednesday,45505.05096380011,38948.23156314139,52061.87036445883
2022-08-04,Thursday,44997.191774426996,38440.372373768274,51554.01117508572
2022-08-05,Friday,46466.964668506705,39910.14526784798,53023.78406916543
2022-08-06,Saturday,55428.79827331467,48871.97887265595,61985.61767397339
2022-08-07,Sunday,46756.26015649488,40199.440755836156,53313.0795571536
2022-08-08,Monday,45579.58133453784,39022.76193387912,52136.40073519656
2022-08-09,Tuesday,45213.871167163976,38657.051766505254,51770.6905678227
2022-08-10,Wednesday,45311.09386106334,38754.27446040462,51867.91326172206
2022-08-11,Thursday,45170.892731589374,38614.07333093065,51727.712132248096
2022-08-12,Friday,44955.23528239502,38398.4158817363,51512.05468305374
2022-08-13,Saturday,55371.279022341594,48814.45962168287,61928.098423000316
2022-08-14,Sunday,45625.79578294372,39068.976382285,52182.615183602444
2022-08-15,Monday,45915.48842586169,39358.669025202966,52472.30782652041
2022-08-16,Tuesday,45584.24371383728,39027.424313178555,52141.063114496
2022-08-17,Wednesday,45855.710006411995,39298.89060575327,52412.52940707072
2022-08-18,Thursday,45762.051265860675,39205.23186520195,52318.8706665194
2022-08-19,Friday,45936.084526649196,39379.265125990474,52492.90392730792
2022-08-20,Saturday,55173.40435081641,48616.58495015769,61730.22375147513
2022-08-21,Sunday,46018.53354326023,39461.71414260151,52575.35294391895
2022-08-22,Monday,45880.4248871173,39323.605486458575,52437.24428777602
2022-08-23,Tuesday,46409.39908879459,39852.57968813587,52966.21848945331
