date,day_name,predicted,lower,upper
2022-07-26,Tuesday,45168.46484375,39719.07205864111,50617.85762885889
2022-07-27,Wednesday,44844.69921875,39395.30643364111,50294.09200385889
2022-07-28,Thursday,44950.61328125,39501.22049614111,50400.00606635889
2022-07-29,Friday,44329.453125,38880.06033989111,49778.84591010889
2022-07-30,Saturday,52459.94921875,47010.55643364111,57909.34200385889
2022-07-31,Sunday,45359.38671875,39909.99393364111,50808.77950385889
2022-08-01,Monday,44423.21484375,38973.82205864111,49872.60762885889
2022-08-02,Tuesday,43053.87890625,37604.48612114111,48503.27169135889
2022-08-03,Wednesday,42342.2734375,36892.88065239111,47791.66622260889
2022-08-04,Thursday,41658.625,36209.23221489111,47108.01778510889
2022-08-05,Friday,45789.90625,40340.51346489111,51239.29903510889
2022-08-06,Saturday,53206.71875,47757.32596489111,58656.11153510889
2022-08-07,Sunday,45703.20703125,40253.81424614111,51152.59981635889
2022-08-08,Monday,43662.59765625,38213.20487114111,49111.99044135889
2022-08-09,Tuesday,43191.7890625,37742.39627739111,48641.18184760889
2022-08-10,Wednesday,43252.15234375,37802.75955864111,48701.54512885889
2022-08-11,Thursday,43415.95703125,37966.56424614111,48865.34981635889
2022-08-12,Friday,45096.8828125,39647.49002739111,50546.27559760889
2022-08-13,Saturday,53892.859375,48443.46658989111,59342.25216010889
2022-08-14,Sunday,45851.296875,40401.90408989111,51300.68966010889
2022-08-15,Monday,44162.3515625,38712.95877739111,49611.74434760889
2022-08-16,Tuesday,43612.73046875,38163.33768364111,49062.12325385889
2022-08-17,Wednesday,44570.609375,39121.21658989111,50020.00216010889
2022-08-18,Thursday,43391.37890625,37941.98612114111,48840.77169135889
2022-08-19,Friday,44491.6875,39042.29471489111,49941.08028510889
2022-08-20,Saturday,53134.203125,47684.81033989111,58583.59591010889
2022-08-21,Sunday,45293.15234375,39843.75955864111,50742.54512885889
2022-08-22,Monday,42872.21875,37422.82596489111,48321.61153510889
2022-08-23,Tuesday,44176.41015625,38727.01737114111,49625.80294135889
