week,predicted,lower,upper,interval
2022-07-25,304408.0,264408.0,344408.0,bias_corrected_fixed_±40000
2022-08-01,305124.0,265124.0,345124.0,bias_corrected_fixed_±40000
2022-08-08,302749.0,262749.0,342749.0,bias_corrected_fixed_±40000
2022-08-15,313655.0,273655.0,353655.0,bias_corrected_fixed_±40000
2022-08-22,314827.0,274827.0,354827.0,bias_corrected_fixed_±40000
2022-08-29,315611.0,275611.0,355611.0,bias_corrected_fixed_±40000
2022-09-05,305185.0,265185.0,345185.0,bias_corrected_fixed_±40000
2022-09-12,293903.0,253903.0,333903.0,bias_corrected_fixed_±40000
2022-09-19,293526.0,253526.0,333526.0,bias_corrected_fixed_±40000
2022-09-26,279347.0,239347.0,319347.0,bias_corrected_fixed_±40000
2022-10-03,256095.0,216095.0,296095.0,bias_corrected_fixed_±40000
2022-10-10,251616.0,211616.0,291616.0,bias_corrected_fixed_±40000
2022-10-17,268504.0,228504.0,308504.0,bias_corrected_fixed_±40000
2022-10-24,252756.0,212756.0,292756.0,bias_corrected_fixed_±40000
2022-10-31,262902.0,222902.0,302902.0,bias_corrected_fixed_±40000
2022-11-07,264537.0,224537.0,304537.0,bias_corrected_fixed_±40000
2022-11-14,240170.0,200170.0,280170.0,bias_corrected_fixed_±40000
2022-11-21,195848.0,155848.0,235848.0,bias_corrected_fixed_±40000
2022-11-28,195737.0,155737.0,235737.0,bias_corrected_fixed_±40000
2022-12-05,199758.0,159758.0,239758.0,bias_corrected_fixed_±40000
2022-12-12,238247.0,198247.0,278247.0,bias_corrected_fixed_±40000
2022-12-19,249903.0,209903.0,289903.0,bias_corrected_fixed_±40000
2022-12-26,250579.0,210579.0,290579.0,bias_corrected_fixed_±40000
2023-01-02,338914.0,298914.0,378914.0,bias_corrected_fixed_±40000
2023-01-09,255154.0,215154.0,295154.0,bias_corrected_fixed_±40000
2023-01-16,201333.0,161333.0,241333.0,bias_corrected_fixed_±40000
2023-01-23,117675.0,77675.0,157675.0,bias_corrected_fixed_±40000
2023-01-30,102875.0,62875.0,142875.0,bias_corrected_fixed_±40000
2023-02-06,99049.0,59049.0,139049.0,bias_corrected_fixed_±40000
2023-02-13,126488.0,86488.0,166488.0,bias_corrected_fixed_±40000
2023-02-20,133486.0,93486.0,173486.0,bias_corrected_fixed_±40000
2023-02-27,158203.0,118203.0,198203.0,bias_corrected_fixed_±40000
2023-03-06,172946.0,132946.0,212946.0,bias_corrected_fixed_±40000
2023-03-13,186744.0,146744.0,226744.0,bias_corrected_fixed_±40000
2023-03-20,194412.0,154412.0,234412.0,bias_corrected_fixed_±40000
2023-03-27,216349.0,176349.0,256349.0,bias_corrected_fixed_±40000
2023-04-03,193146.0,153146.0,233146.0,bias_corrected_fixed_±40000
2023-04-10,212547.0,172547.0,252547.0,bias_corrected_fixed_±40000
2023-04-17,308674.0,268674.0,348674.0,bias_corrected_fixed_±40000
2023-04-24,363487.0,323487.0,403487.0,bias_corrected_fixed_±40000
2023-05-01,328113.0,288113.0,368113.0,bias_corrected_fixed_±40000
2023-05-08,321971.0,281971.0,361971.0,bias_corrected_fixed_±40000
2023-05-15,264362.0,224362.0,304362.0,bias_corrected_fixed_±40000
2023-05-22,261433.0,221433.0,301433.0,bias_corrected_fixed_±40000
2023-05-29,334900.0,294900.0,374900.0,bias_corrected_fixed_±40000
2023-06-05,340396.0,300396.0,380396.0,bias_corrected_fixed_±40000
2023-06-12,364124.0,324124.0,404124.0,bias_corrected_fixed_±40000
2023-06-19,367115.0,327115.0,407115.0,bias_corrected_fixed_±40000
2023-06-26,362861.0,322861.0,402861.0,bias_corrected_fixed_±40000
2023-07-03,336691.0,296691.0,376691.0,bias_corrected_fixed_±40000
2023-07-10,323921.0,283921.0,363921.0,bias_corrected_fixed_±40000
2023-07-17,343100.0,303100.0,383100.0,bias_corrected_fixed_±40000
2023-07-24,333024.0,293024.0,373024.0,bias_corrected_fixed_±40000
