week,predicted,lower,upper,interval
2022-07-25,304124.0,278957.0,342625.0,quantile_10%_90%
2022-08-01,304840.0,261521.0,350834.0,quantile_10%_90%
2022-08-08,302465.0,256788.0,346368.0,quantile_10%_90%
2022-08-15,313371.0,254758.0,350389.0,quantile_10%_90%
2022-08-22,314542.0,248965.0,346753.0,quantile_10%_90%
2022-08-29,315327.0,228165.0,350253.0,quantile_10%_90%
2022-09-05,304901.0,162464.0,340019.0,quantile_10%_90%
2022-09-12,293619.0,162766.0,340019.0,quantile_10%_90%
2022-09-19,293242.0,145996.0,339464.0,quantile_10%_90%
2022-09-26,279063.0,148364.0,339136.0,quantile_10%_90%
2022-10-03,255810.0,148561.0,334672.0,quantile_10%_90%
2022-10-10,251332.0,149030.0,333469.0,quantile_10%_90%
2022-10-17,268220.0,138268.0,327170.0,quantile_10%_90%
2022-10-24,252472.0,128657.0,325582.0,quantile_10%_90%
2022-10-31,262617.0,116599.0,327462.0,quantile_10%_90%
2022-11-07,264252.0,117659.0,326342.0,quantile_10%_90%
2022-11-14,239885.0,107340.0,324910.0,quantile_10%_90%
2022-11-21,195564.0,121184.0,324741.0,quantile_10%_90%
2022-11-28,195452.0,103398.0,324659.0,quantile_10%_90%
2022-12-05,199474.0,128267.0,323354.0,quantile_10%_90%
2022-12-12,237962.0,126069.0,326943.0,quantile_10%_90%
2022-12-19,249618.0,141242.0,321999.0,quantile_10%_90%
2022-12-26,250295.0,183082.0,323247.0,quantile_10%_90%
2023-01-02,338630.0,143966.0,321214.0,quantile_10%_90%
2023-01-09,254870.0,134430.0,320483.0,quantile_10%_90%
2023-01-16,201049.0,130472.0,318525.0,quantile_10%_90%
2023-01-23,117390.0,108861.0,318525.0,quantile_10%_90%
2023-01-30,102590.0,96473.0,318542.0,quantile_10%_90%
2023-02-06,98765.0,67993.0,318679.0,quantile_10%_90%
2023-02-13,126204.0,32271.0,318653.0,quantile_10%_90%
2023-02-20,133202.0,30345.0,319164.0,quantile_10%_90%
2023-02-27,157919.0,21140.0,320555.0,quantile_10%_90%
2023-03-06,172661.0,18525.0,320555.0,quantile_10%_90%
2023-03-13,186459.0,9745.0,320555.0,quantile_10%_90%
2023-03-20,194128.0,6332.0,320531.0,quantile_10%_90%
2023-03-27,216065.0,13692.0,320694.0,quantile_10%_90%
2023-04-03,192862.0,4611.0,320555.0,quantile_10%_90%
2023-04-10,212263.0,9991.0,323263.0,quantile_10%_90%
2023-04-17,308390.0,4800.0,359683.0,quantile_10%_90%
2023-04-24,363203.0,4506.0,347638.0,quantile_10%_90%
2023-05-01,327828.0,5617.0,349256.0,quantile_10%_90%
2023-05-08,321687.0,5013.0,349164.0,quantile_10%_90%
2023-05-15,264078.0,3059.0,337063.0,quantile_10%_90%
2023-05-22,261149.0,3059.0,337926.0,quantile_10%_90%
2023-05-29,334616.0,6641.0,352376.0,quantile_10%_90%
2023-06-05,340112.0,4286.0,364545.0,quantile_10%_90%
2023-06-12,363840.0,4188.0,375088.0,quantile_10%_90%
2023-06-19,366831.0,10760.0,366424.0,quantile_10%_90%
2023-06-26,362576.0,11626.0,367484.0,quantile_10%_90%
2023-07-03,336407.0,9168.0,357955.0,quantile_10%_90%
2023-07-10,323637.0,10453.0,340922.0,quantile_10%_90%
2023-07-17,342816.0,12259.0,365930.0,quantile_10%_90%
2023-07-24,332739.0,10547.0,367175.0,quantile_10%_90%
