week,predicted,lower,upper,interval
2022-07-25,304124.0,264124.0,344124.0,fixed_±40000
2022-08-01,304840.0,264840.0,344840.0,fixed_±40000
2022-08-08,302465.0,262465.0,342465.0,fixed_±40000
2022-08-15,313371.0,273371.0,353371.0,fixed_±40000
2022-08-22,314542.0,274542.0,354542.0,fixed_±40000
2022-08-29,315327.0,275327.0,355327.0,fixed_±40000
2022-09-05,304901.0,264901.0,344901.0,fixed_±40000
2022-09-12,293619.0,253619.0,333619.0,fixed_±40000
2022-09-19,293242.0,253242.0,333242.0,fixed_±40000
2022-09-26,279063.0,239063.0,319063.0,fixed_±40000
2022-10-03,255810.0,215810.0,295810.0,fixed_±40000
2022-10-10,251332.0,211332.0,291332.0,fixed_±40000
2022-10-17,268220.0,228220.0,308220.0,fixed_±40000
2022-10-24,252472.0,212472.0,292472.0,fixed_±40000
2022-10-31,262617.0,222617.0,302617.0,fixed_±40000
2022-11-07,264252.0,224252.0,304252.0,fixed_±40000
2022-11-14,239885.0,199885.0,279885.0,fixed_±40000
2022-11-21,195564.0,155564.0,235564.0,fixed_±40000
2022-11-28,195452.0,155452.0,235452.0,fixed_±40000
2022-12-05,199474.0,159474.0,239474.0,fixed_±40000
2022-12-12,237962.0,197962.0,277962.0,fixed_±40000
2022-12-19,249618.0,209618.0,289618.0,fixed_±40000
2022-12-26,250295.0,210295.0,290295.0,fixed_±40000
2023-01-02,338630.0,298630.0,378630.0,fixed_±40000
2023-01-09,254870.0,214870.0,294870.0,fixed_±40000
2023-01-16,201049.0,161049.0,241049.0,fixed_±40000
2023-01-23,117390.0,77390.0,157390.0,fixed_±40000
2023-01-30,102590.0,62590.0,142590.0,fixed_±40000
2023-02-06,98765.0,58765.0,138765.0,fixed_±40000
2023-02-13,126204.0,86204.0,166204.0,fixed_±40000
2023-02-20,133202.0,93202.0,173202.0,fixed_±40000
2023-02-27,157919.0,117919.0,197919.0,fixed_±40000
2023-03-06,172661.0,132661.0,212661.0,fixed_±40000
2023-03-13,186459.0,146459.0,226459.0,fixed_±40000
2023-03-20,194128.0,154128.0,234128.0,fixed_±40000
2023-03-27,216065.0,176065.0,256065.0,fixed_±40000
2023-04-03,192862.0,152862.0,232862.0,fixed_±40000
2023-04-10,212263.0,172263.0,252263.0,fixed_±40000
2023-04-17,308390.0,268390.0,348390.0,fixed_±40000
2023-04-24,363203.0,323203.0,403203.0,fixed_±40000
2023-05-01,327828.0,287828.0,367828.0,fixed_±40000
2023-05-08,321687.0,281687.0,361687.0,fixed_±40000
2023-05-15,264078.0,224078.0,304078.0,fixed_±40000
2023-05-22,261149.0,221149.0,301149.0,fixed_±40000
2023-05-29,334616.0,294616.0,374616.0,fixed_±40000
2023-06-05,340112.0,300112.0,380112.0,fixed_±40000
2023-06-12,363840.0,323840.0,403840.0,fixed_±40000
2023-06-19,366831.0,326831.0,406831.0,fixed_±40000
2023-06-26,362576.0,322576.0,402576.0,fixed_±40000
2023-07-03,336407.0,296407.0,376407.0,fixed_±40000
2023-07-10,323637.0,283637.0,363637.0,fixed_±40000
2023-07-17,342816.0,302816.0,382816.0,fixed_±40000
2023-07-24,332739.0,292739.0,372739.0,fixed_±40000
