week,predicted,lower,upper,interval
2022-07-25,282527.0,242527.0,322527.0,bias_corrected_fixed_±40000
2022-08-01,274872.0,234872.0,314872.0,bias_corrected_fixed_±40000
2022-08-08,266107.0,226107.0,306107.0,bias_corrected_fixed_±40000
2022-08-15,280882.0,240882.0,320882.0,bias_corrected_fixed_±40000
2022-08-22,270246.0,230246.0,310246.0,bias_corrected_fixed_±40000
2022-08-29,263971.0,223971.0,303971.0,bias_corrected_fixed_±40000
2022-09-05,250365.0,210365.0,290365.0,bias_corrected_fixed_±40000
2022-09-12,251640.0,211640.0,291640.0,bias_corrected_fixed_±40000
2022-09-19,263281.0,223281.0,303281.0,bias_corrected_fixed_±40000
2022-09-26,248385.0,208385.0,288385.0,bias_corrected_fixed_±40000
2022-10-03,195034.0,155034.0,235034.0,bias_corrected_fixed_±40000
2022-10-10,185562.0,145562.0,225562.0,bias_corrected_fixed_±40000
2022-10-17,201430.0,161430.0,241430.0,bias_corrected_fixed_±40000
2022-10-24,209079.0,169079.0,249079.0,bias_corrected_fixed_±40000
2022-10-31,254734.0,214734.0,294734.0,bias_corrected_fixed_±40000
2022-11-07,275136.0,235136.0,315136.0,bias_corrected_fixed_±40000
2022-11-14,266713.0,226713.0,306713.0,bias_corrected_fixed_±40000
2022-11-21,224042.0,184042.0,264042.0,bias_corrected_fixed_±40000
2022-11-28,174861.0,134861.0,214861.0,bias_corrected_fixed_±40000
2022-12-05,180587.0,140587.0,220587.0,bias_corrected_fixed_±40000
2022-12-12,217087.0,177087.0,257087.0,bias_corrected_fixed_±40000
2022-12-19,259014.0,219014.0,299014.0,bias_corrected_fixed_±40000
2022-12-26,282637.0,242637.0,322637.0,bias_corrected_fixed_±40000
2023-01-02,313611.0,273611.0,353611.0,bias_corrected_fixed_±40000
2023-01-09,269997.0,229997.0,309997.0,bias_corrected_fixed_±40000
2023-01-16,190382.0,150382.0,230382.0,bias_corrected_fixed_±40000
2023-01-23,135771.0,95771.0,175771.0,bias_corrected_fixed_±40000
2023-01-30,125947.0,85947.0,165947.0,bias_corrected_fixed_±40000
2023-02-06,109656.0,69656.0,149656.0,bias_corrected_fixed_±40000
2023-02-13,135118.0,95118.0,175118.0,bias_corrected_fixed_±40000
2023-02-20,135260.0,95260.0,175260.0,bias_corrected_fixed_±40000
2023-02-27,155333.0,115333.0,195333.0,bias_corrected_fixed_±40000
2023-03-06,174483.0,134483.0,214483.0,bias_corrected_fixed_±40000
2023-03-13,201974.0,161974.0,241974.0,bias_corrected_fixed_±40000
2023-03-20,219824.0,179824.0,259824.0,bias_corrected_fixed_±40000
2023-03-27,236475.0,196475.0,276475.0,bias_corrected_fixed_±40000
2023-04-03,254463.0,214463.0,294463.0,bias_corrected_fixed_±40000
2023-04-10,311492.0,271492.0,351492.0,bias_corrected_fixed_±40000
2023-04-17,410234.0,370234.0,450234.0,bias_corrected_fixed_±40000
2023-04-24,319798.0,279798.0,359798.0,bias_corrected_fixed_±40000
2023-05-01,314761.0,274761.0,354761.0,bias_corrected_fixed_±40000
2023-05-08,329330.0,289330.0,369330.0,bias_corrected_fixed_±40000
2023-05-15,275525.0,235525.0,315525.0,bias_corrected_fixed_±40000
2023-05-22,276108.0,236108.0,316108.0,bias_corrected_fixed_±40000
2023-05-29,349975.0,309975.0,389975.0,bias_corrected_fixed_±40000
2023-06-05,398325.0,358325.0,438325.0,bias_corrected_fixed_±40000
2023-06-12,350643.0,310643.0,390643.0,bias_corrected_fixed_±40000
2023-06-19,353726.0,313726.0,393726.0,bias_corrected_fixed_±40000
2023-06-26,367212.0,327212.0,407212.0,bias_corrected_fixed_±40000
2023-07-03,333699.0,293699.0,373699.0,bias_corrected_fixed_±40000
2023-07-10,339383.0,299383.0,379383.0,bias_corrected_fixed_±40000
2023-07-17,357433.0,317433.0,397433.0,bias_corrected_fixed_±40000
2023-07-24,304496.0,264496.0,344496.0,bias_corrected_fixed_±40000
