week,predicted,lower,upper,interval
2022-07-25,282129.0,225148.0,356713.0,quantile_10%_90%
2022-08-01,274475.0,175930.0,357085.0,quantile_10%_90%
2022-08-08,265709.0,152656.0,358807.0,quantile_10%_90%
2022-08-15,280484.0,143653.0,357723.0,quantile_10%_90%
2022-08-22,269849.0,133133.0,349821.0,quantile_10%_90%
2022-08-29,263573.0,131426.0,347329.0,quantile_10%_90%
2022-09-05,249968.0,111290.0,348386.0,quantile_10%_90%
2022-09-12,251242.0,104978.0,342726.0,quantile_10%_90%
2022-09-19,262884.0,107038.0,343860.0,quantile_10%_90%
2022-09-26,247987.0,102942.0,343782.0,quantile_10%_90%
2022-10-03,194637.0,97792.0,344076.0,quantile_10%_90%
2022-10-10,185165.0,104588.0,345445.0,quantile_10%_90%
2022-10-17,201032.0,102000.0,345667.0,quantile_10%_90%
2022-10-24,208681.0,101822.0,345118.0,quantile_10%_90%
2022-10-31,254336.0,103267.0,345106.0,quantile_10%_90%
2022-11-07,274738.0,101706.0,343210.0,quantile_10%_90%
2022-11-14,266315.0,101537.0,343014.0,quantile_10%_90%
2022-11-21,223644.0,101904.0,342209.0,quantile_10%_90%
2022-11-28,174464.0,101969.0,342323.0,quantile_10%_90%
2022-12-05,180189.0,102103.0,349693.0,quantile_10%_90%
2022-12-12,216690.0,101496.0,349909.0,quantile_10%_90%
2022-12-19,258617.0,101545.0,347092.0,quantile_10%_90%
2022-12-26,282240.0,101796.0,347140.0,quantile_10%_90%
2023-01-02,313214.0,94688.0,356066.0,quantile_10%_90%
2023-01-09,269600.0,93942.0,350208.0,quantile_10%_90%
2023-01-16,189985.0,93751.0,345937.0,quantile_10%_90%
2023-01-23,135373.0,93392.0,346654.0,quantile_10%_90%
2023-01-30,125549.0,93740.0,343915.0,quantile_10%_90%
2023-02-06,109259.0,94279.0,348326.0,quantile_10%_90%
2023-02-13,134720.0,94682.0,349061.0,quantile_10%_90%
2023-02-20,134862.0,94111.0,349777.0,quantile_10%_90%
2023-02-27,154935.0,95294.0,355626.0,quantile_10%_90%
2023-03-06,174086.0,94497.0,349355.0,quantile_10%_90%
2023-03-13,201576.0,94497.0,351400.0,quantile_10%_90%
2023-03-20,219427.0,92740.0,349415.0,quantile_10%_90%
2023-03-27,236077.0,93421.0,346372.0,quantile_10%_90%
2023-04-03,254066.0,99303.0,349811.0,quantile_10%_90%
2023-04-10,311094.0,99851.0,350873.0,quantile_10%_90%
2023-04-17,409837.0,99896.0,388916.0,quantile_10%_90%
2023-04-24,319401.0,99588.0,386254.0,quantile_10%_90%
2023-05-01,314364.0,100613.0,394116.0,quantile_10%_90%
2023-05-08,328933.0,100333.0,394150.0,quantile_10%_90%
2023-05-15,275127.0,99971.0,366144.0,quantile_10%_90%
2023-05-22,275710.0,100012.0,367337.0,quantile_10%_90%
2023-05-29,349578.0,100337.0,380378.0,quantile_10%_90%
2023-06-05,397928.0,97044.0,382618.0,quantile_10%_90%
2023-06-12,350245.0,97787.0,377167.0,quantile_10%_90%
2023-06-19,353328.0,100890.0,363952.0,quantile_10%_90%
2023-06-26,366815.0,102065.0,370291.0,quantile_10%_90%
2023-07-03,333301.0,102385.0,357020.0,quantile_10%_90%
2023-07-10,338986.0,102418.0,361592.0,quantile_10%_90%
2023-07-17,357035.0,102208.0,375209.0,quantile_10%_90%
2023-07-24,304099.0,101950.0,375623.0,quantile_10%_90%
