week,predicted,lower,upper,interval
2022-07-25,282129.0,242129.0,322129.0,fixed_±40000
2022-08-01,274475.0,234475.0,314475.0,fixed_±40000
2022-08-08,265709.0,225709.0,305709.0,fixed_±40000
2022-08-15,280484.0,240484.0,320484.0,fixed_±40000
2022-08-22,269849.0,229849.0,309849.0,fixed_±40000
2022-08-29,263573.0,223573.0,303573.0,fixed_±40000
2022-09-05,249968.0,209968.0,289968.0,fixed_±40000
2022-09-12,251242.0,211242.0,291242.0,fixed_±40000
2022-09-19,262884.0,222884.0,302884.0,fixed_±40000
2022-09-26,247987.0,207987.0,287987.0,fixed_±40000
2022-10-03,194637.0,154637.0,234637.0,fixed_±40000
2022-10-10,185165.0,145165.0,225165.0,fixed_±40000
2022-10-17,201032.0,161032.0,241032.0,fixed_±40000
2022-10-24,208681.0,168681.0,248681.0,fixed_±40000
2022-10-31,254336.0,214336.0,294336.0,fixed_±40000
2022-11-07,274738.0,234738.0,314738.0,fixed_±40000
2022-11-14,266315.0,226315.0,306315.0,fixed_±40000
2022-11-21,223644.0,183644.0,263644.0,fixed_±40000
2022-11-28,174464.0,134464.0,214464.0,fixed_±40000
2022-12-05,180189.0,140189.0,220189.0,fixed_±40000
2022-12-12,216690.0,176690.0,256690.0,fixed_±40000
2022-12-19,258617.0,218617.0,298617.0,fixed_±40000
2022-12-26,282240.0,242240.0,322240.0,fixed_±40000
2023-01-02,313214.0,273214.0,353214.0,fixed_±40000
2023-01-09,269600.0,229600.0,309600.0,fixed_±40000
2023-01-16,189985.0,149985.0,229985.0,fixed_±40000
2023-01-23,135373.0,95373.0,175373.0,fixed_±40000
2023-01-30,125549.0,85549.0,165549.0,fixed_±40000
2023-02-06,109259.0,69259.0,149259.0,fixed_±40000
2023-02-13,134720.0,94720.0,174720.0,fixed_±40000
2023-02-20,134862.0,94862.0,174862.0,fixed_±40000
2023-02-27,154935.0,114935.0,194935.0,fixed_±40000
2023-03-06,174086.0,134086.0,214086.0,fixed_±40000
2023-03-13,201576.0,161576.0,241576.0,fixed_±40000
2023-03-20,219427.0,179427.0,259427.0,fixed_±40000
2023-03-27,236077.0,196077.0,276077.0,fixed_±40000
2023-04-03,254066.0,214066.0,294066.0,fixed_±40000
2023-04-10,311094.0,271094.0,351094.0,fixed_±40000
2023-04-17,409837.0,369837.0,449837.0,fixed_±40000
2023-04-24,319401.0,279401.0,359401.0,fixed_±40000
2023-05-01,314364.0,274364.0,354364.0,fixed_±40000
2023-05-08,328933.0,288933.0,368933.0,fixed_±40000
2023-05-15,275127.0,235127.0,315127.0,fixed_±40000
2023-05-22,275710.0,235710.0,315710.0,fixed_±40000
2023-05-29,349578.0,309578.0,389578.0,fixed_±40000
2023-06-05,397928.0,357928.0,437928.0,fixed_±40000
2023-06-12,350245.0,310245.0,390245.0,fixed_±40000
2023-06-19,353328.0,313328.0,393328.0,fixed_±40000
2023-06-26,366815.0,326815.0,406815.0,fixed_±40000
2023-07-03,333301.0,293301.0,373301.0,fixed_±40000
2023-07-10,338986.0,298986.0,378986.0,fixed_±40000
2023-07-17,357035.0,317035.0,397035.0,fixed_±40000
2023-07-24,304099.0,264099.0,344099.0,fixed_±40000
