date_hour,ENTITY_DESCRIPTION_SHORT,wait_time_avg,attendance,temp,pressure,humidity,wind_speed,clouds_all,rain_1h,guests_sum,availability,utilization,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_9,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,covid_1
2022-08-10 09:00:00,Bumper Cars,,43252.15234375,26.47,1022,38,3.84,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 10:00:00,Bumper Cars,,43252.15234375,29.43,1022,37,3.94,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 11:00:00,Bumper Cars,,43252.15234375,30.94,1021,31,4.88,4,0.0,687.0,1.0,0.6746810598626104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 12:00:00,Bumper Cars,,43252.15234375,31.47,1021,30,5.14,31,0.0,687.0,1.0,0.6746810598626104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 13:00:00,Bumper Cars,,43252.15234375,31.82,1020,30,5.08,35,0.0,687.0,1.0,0.6746810598626104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 14:00:00,Bumper Cars,,43252.15234375,32.31,1020,30,5.02,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 15:00:00,Bumper Cars,,43252.15234375,32.42,1019,29,5.01,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 16:00:00,Bumper Cars,,43252.15234375,32.25,1019,29,4.96,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 17:00:00,Bumper Cars,,43252.15234375,31.7,1019,31,4.93,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 18:00:00,Bumper Cars,,43252.15234375,30.48,1019,32,3.86,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 19:00:00,Bumper Cars,,43252.15234375,28.58,1019,39,2.87,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 20:00:00,Bumper Cars,,43252.15234375,25.54,1019,49,2.97,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 21:00:00,Bumper Cars,,43252.15234375,23.26,1019,60,2.9,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10 22:00:00,Bumper Cars,,43252.15234375,23.56,1019,44,2.6,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 09:00:00,Bumper Cars,,43415.95703125,28.17,1019,38,4.39,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 10:00:00,Bumper Cars,,43415.95703125,30.15,1019,33,5.0,10,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 11:00:00,Bumper Cars,,43415.95703125,30.86,1018,30,5.29,0,0.0,687.0,1.0,0.6746810598626104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 12:00:00,Bumper Cars,,43415.95703125,31.19,1018,29,5.55,0,0.0,687.0,1.0,0.6746810598626104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 13:00:00,Bumper Cars,,43415.95703125,31.7,1018,28,5.66,0,0.0,687.0,1.0,0.6746810598626104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 14:00:00,Bumper Cars,,43415.95703125,32.1,1017,29,5.46,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 15:00:00,Bumper Cars,,43415.95703125,32.28,1017,29,5.33,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 16:00:00,Bumper Cars,,43415.95703125,32.12,1016,29,5.09,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 17:00:00,Bumper Cars,,43415.95703125,31.92,1016,28,4.81,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 18:00:00,Bumper Cars,,43415.95703125,30.56,1016,31,3.76,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 19:00:00,Bumper Cars,,43415.95703125,28.29,1016,38,2.68,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 20:00:00,Bumper Cars,,43415.95703125,25.34,1016,49,2.84,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11 21:00:00,Bumper Cars,,43415.95703125,24.37,1017,41,2.95,0,0.0,687.0,1.0,0.6746810598626104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
