date,wait_time_mean,wait_time_max,wait_time_std,total_guests,temp_mean,temp_min,temp_max,feels_like_mean,humidity_mean,wind_speed_mean,wind_speed_max,pressure_mean,clouds_mean,rain_total,snow_total,visibility_mean,weather_main,temp_category,has_rain,has_snow
2018-01-01,14.3484555984556,150,19.117674367697475,212634.834,7.40125,6.35,9.12,3.295,82.58333333333333,8.057083333333333,9.89,1005.5833333333334,65.375,8.02,0.0,,Clouds,0-10°C,True,False
2018-01-02,22.915057915057915,120,23.674346330230858,266828.6609,7.88375,5.76,12.04,5.288333333333333,87.5,5.613333333333333,8.36,1013.3333333333334,79.20833333333333,2.3400000000000003,0.0,,Clouds,0-10°C,True,False
2018-01-03,23.846525096525095,120,27.341070492464695,235157.1333,9.614583333333334,7.11,13.46,6.842083333333334,79.95833333333333,8.825833333333334,12.06,1005.75,79.5,9.07,0.0,,Rain,0-10°C,True,False
2018-01-04,21.795366795366796,120,23.995726678960846,261887.1636,10.922916666666666,7.37,14.05,9.629166666666666,89.91666666666667,7.00875,9.59,1002.5416666666666,96.04166666666667,14.11,0.0,,Rain,10-15°C,True,False
2018-01-05,25.622586872586872,120,25.708660618061757,270942.473,8.586666666666668,5.0,10.34,6.198333333333333,88.0,4.847916666666666,7.61,1001.0833333333334,97.79166666666667,1.97,0.0,,Clouds,0-10°C,True,False
2018-01-06,20.43918918918919,100,21.783141030217973,271638.1694,6.712083333333333,5.11,7.8,5.159583333333333,94.83333333333333,2.4033333333333333,4.19,1006.5833333333334,99.29166666666667,1.18,0.0,,Clouds,0-10°C,True,False
2018-01-07,13.692084942084943,120,16.07871676718355,238267.4978,6.044999999999999,5.56,6.54,2.2083333333333335,88.58333333333333,6.077083333333333,7.42,1015.4166666666666,99.70833333333333,2.56,0.0,,Clouds,0-10°C,True,False
2018-01-08,11.537162162162161,95,16.70358416786286,162197.3315,5.852916666666666,4.76,8.09,2.8825000000000003,89.33333333333333,4.083333333333333,5.03,1016.2083333333334,90.625,0.34,0.0,,Clouds,0-10°C,True,False
2018-01-09,9.307432432432432,120,14.258277823760386,150503.8331,5.6620833333333325,3.01,8.1,3.6679166666666667,93.91666666666667,2.8683333333333336,4.49,1009.75,98.75,1.2,0.0,,Clouds,0-10°C,True,False
2018-01-10,8.482142857142858,125,13.311107448278696,148593.5003,7.5025,6.26,9.08,5.552499999999999,92.04166666666667,3.0833333333333335,4.57,1008.625,91.79166666666667,5.03,0.0,,Clouds,0-10°C,True,False
