date,hour,wait_time_mean,wait_time_max,wait_time_std,n_observations,total_guests,total_units,temp,feels_like,humidity,wind_speed,pressure,clouds_all,rain_1h,snow_1h,weather_main,temp_category
2018-01-01,9,5.54054054054054,60,10.170905804101046,148,9075.9998,2286.4667,6.76,2.62,83,7.48,1007,100,0.0,0.0,Clouds,5-10°C
2018-01-01,10,13.85135135135135,65,15.573990555888242,148,19056.0004,2396.9334,6.77,2.68,87,7.33,1005,100,0.82,0.0,Rain,5-10°C
2018-01-01,11,20.37162162162162,150,24.571783055417903,148,18134.0,2427.5999,6.35,1.46,91,9.69,1002,100,2.01,0.0,Rain,5-10°C
2018-01-01,12,22.466216216216218,120,27.339492140190625,148,18649.4998,2603.9334,7.77,3.28,93,9.89,998,99,0.92,0.0,Rain,5-10°C
2018-01-01,13,20.60810810810811,120,24.01038186311752,148,20086.5003,2624.6,8.34,4.22,93,9.12,997,83,0.82,0.0,Rain,5-10°C
2018-01-01,14,20.506756756756758,90,21.05822721948609,148,20869.9996,2631.3333000000002,9.12,5.31,89,8.85,997,97,0.18,0.0,Rain,5-10°C
2018-01-01,15,22.195945945945947,90,20.58024241865638,148,22317.4997,2687.9333,8.07,3.99,85,8.63,997,72,2.34,0.0,Rain,5-10°C
2018-01-01,16,21.216216216216218,90,20.191444453604618,148,20349.0005,2659.5333,8.37,4.35,86,8.76,998,100,0.44,0.0,Rain,5-10°C
2018-01-01,17,15.641891891891891,65,17.44067110639078,148,17691.0,2635.9334,7.76,3.3,86,9.77,1001,100,0.25,0.0,Rain,5-10°C
2018-01-01,18,13.952702702702704,55,16.374168498163538,148,16564.4998,2624.4668,7.33,2.99,86,8.76,1004,67,0.24,0.0,Rain,5-10°C
2018-01-01,19,10.574324324324325,50,12.94314685695735,148,13195.5002,2689.8667,7.28,3.03,83,8.38,1006,23,0.0,0.0,Clouds,5-10°C
2018-01-01,20,6.351351351351352,45,9.102488906001245,148,10889.0003,2432.4,7.44,3.36,82,7.96,1008,29,0.0,0.0,Clouds,5-10°C
2018-01-01,21,6.25,30,8.509198704051634,148,5683.3336,2244.9333,6.8,2.64,84,7.58,1010,39,0.0,0.0,Clouds,5-10°C
2018-01-01,22,1.3513513513513513,30,4.5398685360582895,148,73.0,2164.0,6.79,2.68,80,7.41,1011,51,0.0,0.0,Clouds,5-10°C
2018-01-02,9,11.858108108108109,75,15.619632742438002,148,16826.9979,2348.9333,6.24,3.31,87,4.14,1018,100,0.0,0.0,Clouds,5-10°C
2018-01-02,10,22.804054054054053,75,20.98935874989401,148,24118.9978,2460.8001,6.45,3.59,88,4.1,1017,100,0.0,0.0,Clouds,5-10°C
2018-01-02,11,28.41216216216216,70,19.7521820215636,148,23956.5003,2781.6,7.02,4.1,87,4.48,1016,100,0.0,0.0,Clouds,5-10°C
2018-01-02,12,32.0945945945946,70,21.428678678410282,148,25027.9994,2828.1333,7.36,4.57,87,4.38,1015,99,0.0,0.0,Clouds,5-10°C
2018-01-02,13,32.229729729729726,120,22.087363517118593,148,25746.4996,2832.3336,8.14,4.97,89,5.74,1014,100,0.17,0.0,Rain,5-10°C
2018-01-02,14,34.527027027027025,120,25.907592443207573,148,26003.9996,2858.7999,8.14,5.24,91,5.06,1013,100,0.33,0.0,Rain,5-10°C
2018-01-02,15,35.439189189189186,95,25.08440889090554,148,24017.9999,2850.0,8.26,5.44,92,4.94,1012,100,0.38,0.0,Rain,5-10°C
2018-01-02,16,33.513513513513516,90,25.32415331877339,148,24382.0003,2854.8667,8.16,5.06,95,5.59,1012,100,0.55,0.0,Rain,5-10°C
2018-01-02,17,26.4527027027027,95,26.181297385381058,148,18809.5003,2748.7334,8.78,5.8,96,5.7,1011,100,0.42,0.0,Rain,5-10°C
2018-01-02,18,25.033783783783782,95,26.556938071533125,148,18221.0001,2703.2665,9.06,6.1,97,5.86,1011,100,0.0,0.0,Clouds,5-10°C
2018-01-02,19,19.256756756756758,90,21.917942707723956,148,17499.0003,2439.8667,10.04,9.63,97,6.4,1010,100,0.18,0.0,Rain,10-15°C
2018-01-02,20,10.675675675675675,60,15.634523205614146,148,13620.1658,2388.3333000000002,10.74,10.4,97,6.68,1010,100,0.16,0.0,Rain,10-15°C
2018-01-02,21,7.5675675675675675,50,12.757370638483797,148,8323.9996,2351.6,11.03,10.7,96,7.62,1009,100,0.15,0.0,Rain,10-15°C
2018-01-02,22,0.9459459459459459,30,4.17928774289048,148,274.0,2324.0,11.74,11.35,91,7.83,1008,100,0.0,0.0,Clouds,10-15°C
2018-01-03,9,12.466216216216216,85,19.7044197329979,148,14945.5002,2291.7999,7.78,3.18,74,10.41,1005,61,0.0,0.0,Clouds,5-10°C
2018-01-03,10,25.37162162162162,120,26.599135683724047,148,22079.9998,2346.0668,7.65,3.34,76,9.04,1006,53,0.94,0.0,Rain,5-10°C
2018-01-03,11,31.79054054054054,95,26.451149526446933,148,21087.0002,2611.0,9.74,6.42,75,7.68,1007,35,0.22,0.0,Rain,5-10°C
2018-01-03,12,35.439189189189186,105,27.098516753181666,148,19931.9998,2661.1332,8.1,3.81,73,9.52,1008,43,0.0,0.0,Clouds,5-10°C
2018-01-03,13,34.29054054054054,120,29.589079935113027,148,20249.0002,2664.5997,9.35,5.55,72,9.11,1008,39,0.0,0.0,Clouds,5-10°C
2018-01-03,14,35.8445945945946,100,28.352665554621414,148,19757.9999,2659.2667,9.29,5.37,72,9.56,1009,35,0.0,0.0,Clouds,5-10°C
2018-01-03,15,37.770270270270274,90,28.90450959204098,148,20599.4997,2657.133,9.32,5.67,72,8.46,1009,43,0.0,0.0,Clouds,5-10°C
2018-01-03,16,34.83108108108108,120,28.40676083977804,148,20145.5,2635.933,9.04,5.49,73,7.76,1010,84,0.0,0.0,Clouds,5-10°C
2018-01-03,17,27.16216216216216,120,28.357305757971364,148,17484.9999,2630.5999,8.77,5.17,76,7.65,1010,100,0.0,0.0,Clouds,5-10°C
2018-01-03,18,26.4527027027027,120,29.813783613053523,148,19119.5,2630.9334,8.29,4.79,77,6.85,1010,100,0.0,0.0,Clouds,5-10°C
