date_hour,ENTITY_DESCRIPTION_SHORT,pred_wait_time
2022-07-27 09:00:00,Drop Tower,11.685622485319621
2022-07-27 10:00:00,Drop Tower,27.207525024825852
2022-07-27 11:00:00,Drop Tower,33.505052703374275
2022-07-27 12:00:00,Drop Tower,40.52127691287648
2022-07-27 13:00:00,Drop Tower,38.95707119701413
2022-07-27 14:00:00,Drop Tower,36.381383705255985
2022-07-27 15:00:00,Drop Tower,34.7340224079806
2022-07-27 16:00:00,Drop Tower,32.51618330168537
2022-07-27 17:00:00,Drop Tower,26.714200227714358
2022-07-27 18:00:00,Drop Tower,26.99352545715005
2022-07-27 19:00:00,Drop Tower,26.822836736991352
2022-07-27 20:00:00,Drop Tower,23.085454002208653
2022-07-27 21:00:00,Drop Tower,22.8066670313893
2022-07-27 22:00:00,Drop Tower,25.369293959935113
2022-07-28 09:00:00,Drop Tower,10.27637224150728
2022-07-28 10:00:00,Drop Tower,25.786344492790096
2022-07-28 11:00:00,Drop Tower,33.18886637793453
2022-07-28 12:00:00,Drop Tower,40.2378728044424
2022-07-28 13:00:00,Drop Tower,38.66349731580847
2022-07-28 14:00:00,Drop Tower,36.4563692921536
2022-07-28 15:00:00,Drop Tower,35.10258187608388
2022-07-28 16:00:00,Drop Tower,33.163737412502876
2022-07-28 17:00:00,Drop Tower,27.36175433853186
2022-07-28 18:00:00,Drop Tower,27.28044108507043
2022-07-28 19:00:00,Drop Tower,26.790704569176437
2022-07-28 20:00:00,Drop Tower,22.71667990451901
2022-07-28 21:00:00,Drop Tower,22.430686372534574
2022-07-28 22:00:00,Drop Tower,25.413514465936576
2022-07-29 09:00:00,Drop Tower,10.977843540093076
2022-07-29 10:00:00,Drop Tower,25.77660251452993
2022-07-29 11:00:00,Drop Tower,32.910920799304606
2022-07-29 12:00:00,Drop Tower,39.93911339565017
2022-07-29 13:00:00,Drop Tower,38.782866407934286
2022-07-29 14:00:00,Drop Tower,36.42324896181638
2022-07-29 15:00:00,Drop Tower,34.36415380042968
2022-07-29 16:00:00,Drop Tower,32.131843733521244
2022-07-29 17:00:00,Drop Tower,26.14905532247022
2022-07-29 18:00:00,Drop Tower,26.338435297525912
2022-07-29 19:00:00,Drop Tower,25.62554630639307
2022-07-29 20:00:00,Drop Tower,21.438728146376327
2022-07-29 21:00:00,Drop Tower,21.674448175200414
2022-07-29 22:00:00,Drop Tower,25.691249123715053
2022-07-30 09:00:00,Drop Tower,13.955700062122512
2022-07-30 10:00:00,Drop Tower,30.10426933663192
2022-07-30 11:00:00,Drop Tower,36.36793817680453
2022-07-30 12:00:00,Drop Tower,42.25798624669196
2022-07-30 13:00:00,Drop Tower,41.1811772458122
2022-07-30 14:00:00,Drop Tower,39.473470858607755
2022-07-30 15:00:00,Drop Tower,38.957823900160996
2022-07-30 16:00:00,Drop Tower,37.33308838425113
2022-07-30 17:00:00,Drop Tower,29.857807014419734
2022-07-30 18:00:00,Drop Tower,30.401771086441528
2022-07-30 19:00:00,Drop Tower,28.977229327497355
2022-07-30 20:00:00,Drop Tower,23.374081898714312
2022-07-30 21:00:00,Drop Tower,23.09405639072527
2022-07-30 22:00:00,Drop Tower,26.501112677019407
2022-07-31 09:00:00,Drop Tower,9.488235723931517
2022-07-31 10:00:00,Drop Tower,24.40980245232366
2022-07-31 11:00:00,Drop Tower,31.66380913659121
2022-07-31 12:00:00,Drop Tower,37.8951532243328
2022-07-31 13:00:00,Drop Tower,36.08009512872243
2022-07-31 14:00:00,Drop Tower,34.27406866265398
2022-07-31 15:00:00,Drop Tower,32.7808108688377
2022-07-31 16:00:00,Drop Tower,30.33388267218583
2022-07-31 17:00:00,Drop Tower,24.49976743039984
2022-07-31 18:00:00,Drop Tower,24.90674317127108
2022-07-31 19:00:00,Drop Tower,23.033441171205265
2022-07-31 20:00:00,Drop Tower,19.70685110463307
2022-07-31 21:00:00,Drop Tower,19.428064133813717
2022-07-31 22:00:00,Drop Tower,23.143843117712475
2022-08-01 09:00:00,Drop Tower,14.2593518531136
2022-08-01 10:00:00,Drop Tower,27.162263549096146
2022-08-01 11:00:00,Drop Tower,33.580148482292685
2022-08-01 12:00:00,Drop Tower,41.57061080779624
2022-08-01 13:00:00,Drop Tower,39.47477408257168
2022-08-01 14:00:00,Drop Tower,37.115156636453754
2022-08-01 15:00:00,Drop Tower,36.14101315746621
2022-08-01 16:00:00,Drop Tower,33.15009868117452
2022-08-01 17:00:00,Drop Tower,27.348115607203518
2022-08-01 18:00:00,Drop Tower,27.605164051304932
2022-08-01 19:00:00,Drop Tower,27.144982151416794
2022-08-01 20:00:00,Drop Tower,22.89720063141836
2022-08-01 21:00:00,Drop Tower,22.38750153211431
2022-08-01 22:00:00,Drop Tower,25.23456494028663
2022-08-02 09:00:00,Drop Tower,12.461001534946666
2022-08-02 10:00:00,Drop Tower,21.464554660231645
2022-08-02 11:00:00,Drop Tower,27.40889623887569
2022-08-02 12:00:00,Drop Tower,32.48209507881405
2022-08-02 13:00:00,Drop Tower,29.877793414033068
2022-08-02 14:00:00,Drop Tower,27.401750333836294
2022-08-02 15:00:00,Drop Tower,27.344591126168588
2022-08-02 16:00:00,Drop Tower,25.12524137577288
2022-08-02 17:00:00,Drop Tower,21.586651806122738
2022-08-02 18:00:00,Drop Tower,21.380457612662738
2022-08-02 19:00:00,Drop Tower,20.49898604732376
2022-08-02 20:00:00,Drop Tower,17.513409679868715
2022-08-02 21:00:00,Drop Tower,14.44673312646561
2022-08-02 22:00:00,Drop Tower,19.87234823831942
