latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.08963,1.1571429,11.0,0,Europe/London,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),pressure_msl (hPa),cloud_cover (%),wind_speed_10m (m/s)
2022-07-26T00:00,26.8,0.00,86,1015.9,28,1.49
2022-07-26T01:00,26.3,0.00,68,1016.2,2,2.94
2022-07-26T02:00,25.8,0.00,55,1015.6,10,4.65
2022-07-26T03:00,25.4,0.00,58,1015.4,11,5.20
2022-07-26T04:00,24.5,0.00,51,1015.2,26,5.56
2022-07-26T05:00,24.0,0.00,48,1015.1,99,4.95
2022-07-26T06:00,24.5,0.00,47,1015.2,95,4.24
2022-07-26T07:00,26.1,0.00,42,1015.4,65,4.10
2022-07-26T08:00,28.2,0.00,37,1015.4,20,3.44
2022-07-26T09:00,29.9,0.00,33,1015.3,3,2.75
2022-07-26T10:00,31.6,0.00,28,1015.2,0,2.66
2022-07-26T11:00,33.0,0.00,25,1014.9,1,3.89
2022-07-26T12:00,33.0,0.00,26,1015.2,7,5.20
2022-07-26T13:00,33.2,0.00,26,1014.3,0,5.28
2022-07-26T14:00,31.5,0.00,34,1013.7,0,7.18
2022-07-26T15:00,30.2,0.00,45,1013.5,11,7.35
2022-07-26T16:00,29.1,0.00,55,1013.3,44,6.62
2022-07-26T17:00,28.8,0.00,59,1012.8,14,5.51
2022-07-26T18:00,28.1,0.00,62,1012.6,6,4.48
2022-07-26T19:00,27.2,0.00,68,1012.6,1,4.12
2022-07-26T20:00,26.8,0.00,73,1013.0,0,3.12
2022-07-26T21:00,26.6,0.00,76,1013.6,0,2.92
2022-07-26T22:00,26.5,0.00,78,1013.9,0,3.24
2022-07-26T23:00,26.5,0.00,81,1014.2,0,3.26
2022-07-27T00:00,27.7,0.00,63,1014.0,0,3.50
2022-07-27T01:00,26.8,0.00,42,1013.6,39,3.99
2022-07-27T02:00,26.0,0.00,50,1013.5,1,3.02
2022-07-27T03:00,24.0,0.00,84,1014.0,57,1.55
2022-07-27T04:00,23.8,0.00,72,1013.7,90,4.31
2022-07-27T05:00,24.0,0.00,40,1013.7,44,5.09
2022-07-27T06:00,24.2,0.00,36,1013.8,29,4.04
2022-07-27T07:00,25.8,0.00,32,1014.4,3,3.34
2022-07-27T08:00,27.3,0.00,36,1014.5,0,1.08
2022-07-27T09:00,28.3,0.00,37,1014.4,27,1.20
2022-07-27T10:00,29.1,0.00,34,1014.4,64,2.08
2022-07-27T11:00,30.1,0.00,28,1014.3,53,2.75
2022-07-27T12:00,30.3,0.00,37,1014.0,81,5.30
2022-07-27T13:00,28.2,0.00,57,1013.8,41,6.26
2022-07-27T14:00,28.5,0.00,60,1013.1,14,6.03
2022-07-27T15:00,28.6,0.00,63,1012.6,3,4.99
2022-07-27T16:00,29.4,0.00,55,1012.0,1,3.71
2022-07-27T17:00,29.0,0.00,53,1011.5,2,3.98
2022-07-27T18:00,28.4,0.00,55,1011.2,5,4.52
2022-07-27T19:00,27.4,0.00,59,1011.3,3,4.47
2022-07-27T20:00,27.2,0.00,62,1011.7,0,3.83
2022-07-27T21:00,27.0,0.00,63,1012.2,0,3.42
2022-07-27T22:00,26.9,0.00,69,1012.6,4,3.00
2022-07-27T23:00,26.8,0.00,73,1012.9,31,2.77
2022-07-28T00:00,26.1,0.00,80,1012.6,44,1.14
2022-07-28T01:00,25.9,0.00,81,1012.3,19,0.41
2022-07-28T02:00,25.0,0.00,81,1011.9,31,0.81
2022-07-28T03:00,25.0,0.10,79,1012.1,100,0.45
2022-07-28T04:00,25.0,0.10,81,1012.1,40,1.42
2022-07-28T05:00,24.6,0.10,84,1012.4,55,2.53
2022-07-28T06:00,25.0,0.20,84,1012.5,100,2.27
2022-07-28T07:00,26.1,0.30,78,1012.5,100,2.30
2022-07-28T08:00,24.4,0.90,86,1013.3,100,0.64
2022-07-28T09:00,22.9,1.80,89,1014.1,100,3.98
2022-07-28T10:00,23.5,1.10,84,1014.0,100,1.42
2022-07-28T11:00,24.2,0.00,79,1014.0,94,1.41
2022-07-28T12:00,29.4,0.00,57,1013.0,35,2.92
2022-07-28T13:00,29.7,0.00,56,1013.4,48,3.55
2022-07-28T14:00,30.2,0.00,53,1012.9,37,3.32
2022-07-28T15:00,30.0,0.00,55,1012.6,38,3.92
2022-07-28T16:00,29.9,0.00,54,1012.5,70,3.68
2022-07-28T17:00,29.2,0.00,57,1012.2,70,3.68
2022-07-28T18:00,28.2,0.00,61,1012.1,22,3.00
2022-07-28T19:00,27.5,0.00,65,1012.1,19,2.22
2022-07-28T20:00,26.5,0.00,71,1012.9,39,1.24
2022-07-28T21:00,26.9,0.00,72,1013.6,100,1.00
2022-07-28T22:00,26.3,0.00,78,1013.7,85,1.51
2022-07-28T23:00,26.5,0.00,78,1013.9,45,1.30
2022-07-29T00:00,25.7,0.10,89,1013.7,72,0.85
2022-07-29T01:00,26.0,0.10,86,1013.6,100,1.25
2022-07-29T02:00,25.8,0.20,88,1013.1,97,2.20
2022-07-29T03:00,25.5,0.40,89,1012.9,61,2.92
2022-07-29T04:00,25.6,0.30,88,1013.2,100,2.73
2022-07-29T05:00,25.5,0.30,89,1013.3,100,1.93
2022-07-29T06:00,25.8,0.70,88,1013.8,100,2.14
2022-07-29T07:00,26.4,0.70,82,1013.7,100,3.01
2022-07-29T08:00,27.0,0.50,79,1014.0,100,2.63
2022-07-29T09:00,26.8,1.00,76,1015.2,66,1.00
2022-07-29T10:00,27.1,0.70,75,1015.5,59,0.95
2022-07-29T11:00,28.0,0.60,70,1015.6,100,2.90
2022-07-29T12:00,31.2,0.40,51,1014.8,100,3.30
2022-07-29T13:00,31.4,0.00,51,1015.1,62,3.45
2022-07-29T14:00,30.6,0.00,59,1015.1,66,4.52
2022-07-29T15:00,29.1,0.30,68,1014.9,57,4.11
2022-07-29T16:00,28.8,0.40,72,1015.0,73,3.00
2022-07-29T17:00,28.1,1.00,73,1015.3,69,2.25
2022-07-29T18:00,27.5,0.50,76,1015.4,54,1.63
2022-07-29T19:00,26.8,0.00,83,1016.0,29,2.82
2022-07-29T20:00,26.1,0.00,83,1016.8,30,4.54
2022-07-29T21:00,25.8,0.00,81,1017.5,30,3.70
2022-07-29T22:00,25.5,0.00,80,1017.8,35,3.27
2022-07-29T23:00,25.4,0.00,78,1018.1,18,2.94
2022-07-30T00:00,25.0,0.00,77,1017.7,8,2.92
2022-07-30T01:00,24.8,0.00,76,1017.7,5,2.94
2022-07-30T02:00,24.2,0.00,75,1017.9,22,2.61
2022-07-30T03:00,24.1,0.00,74,1017.6,23,2.01
2022-07-30T04:00,23.9,0.00,77,1017.6,33,1.34
2022-07-30T05:00,23.6,0.00,81,1018.1,28,1.49
2022-07-30T06:00,25.1,0.00,71,1018.4,5,2.77
2022-07-30T07:00,26.4,0.00,55,1018.5,6,3.55
2022-07-30T08:00,27.8,0.00,50,1018.6,23,2.67
2022-07-30T09:00,28.8,0.00,48,1018.8,29,2.40
2022-07-30T10:00,29.7,0.00,45,1019.1,47,2.64
2022-07-30T11:00,30.1,0.00,45,1019.1,32,3.21
2022-07-30T12:00,28.6,0.00,58,1019.4,27,2.01
2022-07-30T13:00,29.1,0.00,56,1018.9,67,1.70
2022-07-30T14:00,29.8,0.00,53,1018.4,55,3.14
2022-07-30T15:00,29.4,0.00,55,1018.2,49,3.38
2022-07-30T16:00,28.7,0.00,59,1017.9,100,3.20
2022-07-30T17:00,28.4,0.00,61,1017.8,0,2.82
2022-07-30T18:00,27.8,0.00,65,1017.8,2,3.30
2022-07-30T19:00,26.7,0.00,71,1017.6,1,1.14
2022-07-30T20:00,25.8,0.00,76,1018.1,3,1.26
2022-07-30T21:00,25.3,0.00,79,1018.8,0,1.55
2022-07-30T22:00,26.0,0.00,74,1018.8,0,0.72
2022-07-30T23:00,24.1,0.00,84,1019.2,2,1.08
2022-07-31T00:00,24.4,0.00,89,1019.5,9,1.32
2022-07-31T01:00,24.6,0.00,90,1018.2,47,1.55
2022-07-31T02:00,24.0,0.00,91,1018.3,56,1.86
2022-07-31T03:00,23.7,0.00,90,1018.0,34,1.82
2022-07-31T04:00,23.5,0.00,89,1017.8,3,3.04
2022-07-31T05:00,23.4,0.00,89,1018.2,26,1.48
2022-07-31T06:00,24.9,0.00,84,1017.9,0,2.00
2022-07-31T07:00,26.7,0.00,75,1018.3,4,0.86
2022-07-31T08:00,27.9,0.00,69,1018.6,5,0.76
2022-07-31T09:00,29.1,0.00,63,1018.4,4,1.70
2022-07-31T10:00,30.0,0.00,61,1018.2,0,2.81
2022-07-31T11:00,30.4,0.00,60,1018.2,7,3.34
2022-07-31T12:00,30.6,0.00,56,1018.1,50,5.12
2022-07-31T13:00,30.2,0.00,59,1017.6,49,4.08
2022-07-31T14:00,30.0,0.00,59,1017.0,44,4.49
2022-07-31T15:00,30.2,0.00,58,1016.6,28,3.04
2022-07-31T16:00,30.0,0.00,61,1016.5,16,2.57
2022-07-31T17:00,29.6,0.00,63,1016.2,24,2.28
2022-07-31T18:00,28.8,0.00,67,1016.1,12,2.09
2022-07-31T19:00,27.7,0.00,74,1016.2,10,2.18
2022-07-31T20:00,26.7,0.00,79,1016.7,9,0.89
2022-07-31T21:00,25.9,0.00,83,1017.0,10,1.14
2022-07-31T22:00,25.8,0.00,81,1017.1,4,0.81
2022-07-31T23:00,25.4,0.00,80,1017.1,2,0.95
2022-08-01T00:00,24.7,0.00,85,1017.0,0,0.92
2022-08-01T01:00,24.4,0.00,83,1016.7,1,0.92
2022-08-01T02:00,25.0,0.00,78,1016.6,2,0.67
2022-08-01T03:00,24.0,0.00,79,1016.3,2,1.22
2022-08-01T04:00,23.8,0.00,78,1015.9,5,1.22
2022-08-01T05:00,23.6,0.00,78,1016.1,7,1.17
2022-08-01T06:00,25.9,0.00,68,1016.3,2,0.76
2022-08-01T07:00,27.5,0.00,64,1016.7,6,1.49
2022-08-01T08:00,29.0,0.00,60,1016.7,1,1.48
2022-08-01T09:00,30.3,0.00,56,1016.7,0,1.94
2022-08-01T10:00,30.9,0.00,57,1016.8,2,2.79
2022-08-01T11:00,31.1,0.00,58,1016.6,17,3.69
2022-08-01T12:00,31.9,0.00,47,1016.1,54,3.20
2022-08-01T13:00,31.3,0.00,54,1016.0,63,4.21
2022-08-01T14:00,30.2,0.00,62,1015.8,50,4.52
2022-08-01T15:00,29.6,0.00,66,1015.6,64,4.35
2022-08-01T16:00,29.1,0.00,68,1015.5,61,4.61
2022-08-01T17:00,28.5,0.00,68,1015.3,57,4.80
2022-08-01T18:00,28.0,0.00,68,1015.3,34,4.30
2022-08-01T19:00,27.6,0.00,71,1015.4,57,2.84
2022-08-01T20:00,27.1,0.00,74,1015.6,19,1.44
2022-08-01T21:00,26.7,0.00,76,1016.0,1,0.91
2022-08-01T22:00,26.9,0.00,76,1016.0,1,0.89
2022-08-01T23:00,26.9,0.00,77,1016.1,0,0.85
2022-08-02T00:00,26.3,0.00,82,1016.3,0,0.32
2022-08-02T01:00,25.0,0.00,88,1016.0,0,1.12
2022-08-02T02:00,24.5,0.00,84,1015.7,0,1.08
2022-08-02T03:00,24.1,0.00,78,1015.5,0,0.90
2022-08-02T04:00,23.6,0.00,75,1015.3,0,1.08
2022-08-02T05:00,23.7,0.00,70,1015.5,0,1.17
2022-08-02T06:00,26.5,0.00,58,1015.6,0,0.51
2022-08-02T07:00,27.9,0.00,61,1015.9,0,0.70
2022-08-02T08:00,29.1,0.00,61,1015.9,0,1.70
2022-08-02T09:00,30.1,0.00,60,1015.8,0,2.81
2022-08-02T10:00,30.8,0.00,59,1015.9,0,3.51
2022-08-02T11:00,31.0,0.00,58,1015.8,3,4.18
2022-08-02T12:00,30.9,0.00,58,1015.5,15,5.01
2022-08-02T13:00,31.2,0.00,55,1015.3,13,4.81
2022-08-02T14:00,31.0,0.00,53,1014.9,21,5.00
2022-08-02T15:00,30.5,0.00,58,1014.5,17,5.00
2022-08-02T16:00,30.1,0.00,58,1014.2,11,4.15
2022-08-02T17:00,29.5,0.00,60,1014.0,4,3.32
2022-08-02T18:00,28.9,0.00,68,1014.0,3,2.33
2022-08-02T19:00,27.6,0.00,75,1013.9,1,1.30
2022-08-02T20:00,27.3,0.00,78,1014.3,0,1.14
2022-08-02T21:00,27.3,0.00,78,1014.8,0,0.00
2022-08-02T22:00,25.5,0.00,84,1014.8,0,1.03
2022-08-02T23:00,24.8,0.00,83,1014.9,0,1.24
2022-08-03T00:00,25.9,0.00,85,1014.8,0,0.72
2022-08-03T01:00,24.5,0.00,87,1014.3,1,1.20
2022-08-03T02:00,24.9,0.00,74,1013.8,1,1.14
2022-08-03T03:00,24.3,0.00,68,1013.3,0,0.92
2022-08-03T04:00,24.0,0.00,65,1013.2,0,1.71
2022-08-03T05:00,23.6,0.00,64,1013.3,0,1.40
2022-08-03T06:00,25.7,0.00,58,1013.5,0,2.16
2022-08-03T07:00,27.8,0.00,61,1013.8,0,1.78
2022-08-03T08:00,29.0,0.00,62,1013.9,0,1.77
2022-08-03T09:00,29.9,0.00,61,1014.2,0,2.34
2022-08-03T10:00,30.3,0.00,63,1014.2,1,3.50
2022-08-03T11:00,30.7,0.00,63,1014.3,11,3.89
2022-08-03T12:00,31.4,0.00,62,1013.8,26,3.28
2022-08-03T13:00,31.5,0.00,62,1013.7,12,3.72
2022-08-03T14:00,31.5,0.00,65,1013.3,10,3.90
2022-08-03T15:00,31.2,0.00,63,1013.5,4,3.26
2022-08-03T16:00,30.8,0.00,60,1013.2,4,3.42
2022-08-03T17:00,30.2,0.00,59,1013.2,5,2.90
2022-08-03T18:00,29.5,0.00,64,1013.2,4,1.82
2022-08-03T19:00,28.5,0.00,70,1013.3,2,1.40
2022-08-03T20:00,28.0,0.00,75,1013.9,1,0.85
2022-08-03T21:00,27.9,0.00,76,1014.2,0,0.36
2022-08-03T22:00,27.5,0.00,77,1014.5,1,0.64
2022-08-03T23:00,26.1,0.00,81,1014.5,0,0.60
