WORK_DATE,DEB_TIME,ENTITY_DESCRIPTION_SHORT,WAIT_TIME_MAX
2022-07-26,2022-07-26 17:00:00.000,Inverted Coaster,32
2022-07-26,2022-07-26 18:00:00.000,Inverted Coaster,20
2022-07-26,2022-07-26 18:00:00.000,Spiral Slide,69
2022-07-26,2022-07-26 22:00:00.000,Circus Train,5
2022-07-26,2022-07-26 22:00:00.000,Haunted House,14
2022-07-26,2022-07-26 22:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 09:00:00.000,Bumper Cars,6
2022-07-27,2022-07-27 09:00:00.000,Bungee Jump,16
2022-07-27,2022-07-27 09:00:00.000,Circus Train,5
2022-07-27,2022-07-27 09:00:00.000,Dizzy Dropper,5
2022-07-27,2022-07-27 09:00:00.000,Drop Tower,12
2022-07-27,2022-07-27 09:00:00.000,Flying Coaster,14
2022-07-27,2022-07-27 09:00:00.000,Free Fall,65
2022-07-27,2022-07-27 09:00:00.000,Giant Wheel,32
2022-07-27,2022-07-27 09:00:00.000,Go-Karts,21
2022-07-27,2022-07-27 09:00:00.000,Haunted House,7
2022-07-27,2022-07-27 09:00:00.000,Inverted Coaster,18
2022-07-27,2022-07-27 09:00:00.000,Merry Go Round,7
2022-07-27,2022-07-27 09:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 09:00:00.000,Spinning Coaster,9
2022-07-27,2022-07-27 09:00:00.000,Spiral Slide,87
2022-07-27,2022-07-27 09:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 09:00:00.000,Swing Ride,44
2022-07-27,2022-07-27 09:00:00.000,Water Ride,9
2022-07-27,2022-07-27 09:00:00.000,Zipline,15
2022-07-27,2022-07-27 10:00:00.000,Bumper Cars,8
2022-07-27,2022-07-27 10:00:00.000,Bungee Jump,17
2022-07-27,2022-07-27 10:00:00.000,Circus Train,5
2022-07-27,2022-07-27 10:00:00.000,Dizzy Dropper,12
2022-07-27,2022-07-27 10:00:00.000,Drop Tower,27
2022-07-27,2022-07-27 10:00:00.000,Flying Coaster,17
2022-07-27,2022-07-27 10:00:00.000,Free Fall,60
2022-07-27,2022-07-27 10:00:00.000,Giant Wheel,49
2022-07-27,2022-07-27 10:00:00.000,Go-Karts,30
2022-07-27,2022-07-27 10:00:00.000,Haunted House,18
2022-07-27,2022-07-27 10:00:00.000,Inverted Coaster,35
2022-07-27,2022-07-27 10:00:00.000,Kiddie Coaster,8
2022-07-27,2022-07-27 10:00:00.000,Merry Go Round,10
2022-07-27,2022-07-27 10:00:00.000,Oz Theatre,8
2022-07-27,2022-07-27 10:00:00.000,Rapids Ride,15
2022-07-27,2022-07-27 10:00:00.000,Roller Coaster,32
2022-07-27,2022-07-27 10:00:00.000,Spinning Coaster,21
2022-07-27,2022-07-27 10:00:00.000,Spiral Slide,87
2022-07-27,2022-07-27 10:00:00.000,Superman Ride,21
2022-07-27,2022-07-27 10:00:00.000,Swing Ride,47
2022-07-27,2022-07-27 10:00:00.000,Water Ride,25
2022-07-27,2022-07-27 10:00:00.000,Zipline,33
2022-07-27,2022-07-27 11:00:00.000,Bumper Cars,10
2022-07-27,2022-07-27 11:00:00.000,Bungee Jump,26
2022-07-27,2022-07-27 11:00:00.000,Circus Train,5
2022-07-27,2022-07-27 11:00:00.000,Dizzy Dropper,13
2022-07-27,2022-07-27 11:00:00.000,Drop Tower,34
2022-07-27,2022-07-27 11:00:00.000,Flying Coaster,21
2022-07-27,2022-07-27 11:00:00.000,Free Fall,62
2022-07-27,2022-07-27 11:00:00.000,Giant Wheel,51
